longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,id,bedroom_share,population_per_room,-,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY,0,14.659090909090908,0.3659090909090909,0,0,0,0,1,0
-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,NEAR BAY,1,15.579659106916466,0.3382166502324271,0,0,0,0,1,0
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,NEAR BAY,2,12.951601908657123,0.338104976141786,0,0,0,0,1,0
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,NEAR BAY,3,18.445839874411302,0.4379905808477237,0,0,0,0,1,0
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,NEAR BAY,4,17.20958819913952,0.34726490473263677,0,0,0,0,1,0
-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,NEAR BAY,5,23.177366702937977,0.44940152339499456,0,0,0,0,1,0
-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,NEAR BAY,6,19.289940828402365,0.43155818540433927,0,0,0,0,1,0
-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,NEAR BAY,7,22.132731958762886,0.37274484536082475,0,0,0,0,1,0
-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,NEAR BAY,8,26.027397260273972,0.4720156555772994,0,0,0,0,1,0
-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,NEAR BAY,9,19.92110453648915,0.4370245139475909,0,0,0,0,1,0
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,NEAR BAY,10,19.709355131698455,0.41326067211625794,0,0,0,0,1,0
-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,NEAR BAY,11,21.46731373108764,0.4293462746217528,0,0,0,0,1,0
-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,NEAR BAY,12,19.02850260939382,0.44078683259735046,0,0,0,0,1,0
-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,NEAR BAY,13,27.442528735632184,0.4956896551724138,0,0,0,0,1,0
-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,159200.0,NEAR BAY,14,23.685206205069996,0.4585698070374574,0,0,0,0,1,0
-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,140000.0,NEAR BAY,15,25.267857142857142,0.6223214285714286,0,0,0,0,1,0
-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,NEAR BAY,16,17.6500508646999,0.40335707019328587,0,0,0,0,1,0
-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,155500.0,NEAR BAY,17,23.859934853420196,0.5276872964169381,0,0,0,0,1,0
-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,158700.0,NEAR BAY,18,20.321572130415362,0.4421616793211255,0,0,0,0,1,0
-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,162900.0,NEAR BAY,19,19.8270126413839,0.4590818363273453,0,0,0,0,1,0
-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,147500.0,NEAR BAY,20,24.500665778961384,0.5446071904127829,0,0,0,0,1,0
-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,159800.0,NEAR BAY,21,22.39170225747407,0.5668090298962782,0,0,0,0,1,0
-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,113900.0,NEAR BAY,22,22.208538587848935,0.4166666666666667,0,0,0,0,1,0
-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,99700.0,NEAR BAY,23,19.964454976303315,0.5053317535545023,0,0,0,0,1,0
-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,132600.0,NEAR BAY,24,19.649280575539567,0.4523381294964029,0,0,0,0,1,0
-122.28,37.85,29.0,535.0,123.0,317.0,119.0,2.4038,107500.0,NEAR BAY,25,22.990654205607477,0.5925233644859813,0,0,0,0,1,0
-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,93800.0,NEAR BAY,26,21.5929203539823,0.5371681415929204,0,0,0,0,1,0
-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,1.808,105500.0,NEAR BAY,27,22.18124341412013,0.5806111696522656,0,0,0,0,1,0
-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424,108900.0,NEAR BAY,28,23.631123919308358,0.5432276657060519,0,0,0,0,1,0
-122.28,37.84,52.0,729.0,160.0,395.0,155.0,1.6875,132000.0,NEAR BAY,29,21.947873799725652,0.541838134430727,0,0,0,0,1,0
-122.28,37.84,49.0,1916.0,447.0,863.0,378.0,1.9274,122300.0,NEAR BAY,30,23.329853862212943,0.45041753653444677,0,0,0,0,1,0
-122.28,37.84,52.0,2153.0,481.0,1168.0,441.0,1.9615,115200.0,NEAR BAY,31,22.34091964700418,0.5424988388295402,0,0,0,0,1,0
-122.27,37.84,48.0,1922.0,409.0,1026.0,335.0,1.7969,110400.0,NEAR BAY,32,21.279916753381894,0.5338189386056191,0,0,0,0,1,0
-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,104900.0,NEAR BAY,33,22.114803625377643,0.4555891238670695,0,0,0,0,1,0
-122.27,37.83,51.0,2665.0,574.0,1165.0,536.0,2.7303,109700.0,NEAR BAY,34,21.53846153846154,0.4371482176360225,0,0,0,0,1,0
-122.27,37.83,49.0,1215.0,282.0,570.0,264.0,1.4861,97200.0,NEAR BAY,35,23.209876543209877,0.4691358024691358,0,0,0,0,1,0
-122.27,37.83,48.0,1798.0,432.0,987.0,374.0,1.0972,104500.0,NEAR BAY,36,24.026696329254726,0.5489432703003337,0,0,0,0,1,0
-122.28,37.83,52.0,1511.0,390.0,901.0,403.0,1.4103,103900.0,NEAR BAY,37,25.810721376571806,0.5962938451356717,0,0,0,0,1,0
-122.26,37.83,52.0,1470.0,330.0,689.0,309.0,3.48,191400.0,NEAR BAY,38,22.448979591836736,0.46870748299319726,0,0,0,0,1,0
-122.26,37.83,52.0,2432.0,715.0,1377.0,696.0,2.5898,176000.0,NEAR BAY,39,29.399671052631575,0.5662006578947368,0,0,0,0,1,0
-122.26,37.83,52.0,1665.0,419.0,946.0,395.0,2.0978,155400.0,NEAR BAY,40,25.165165165165167,0.5681681681681682,0,0,0,0,1,0
-122.26,37.83,51.0,936.0,311.0,517.0,249.0,1.2852,150000.0,NEAR BAY,41,33.22649572649573,0.5523504273504274,0,0,0,0,1,0
-122.26,37.84,49.0,713.0,202.0,462.0,189.0,1.025,118800.0,NEAR BAY,42,28.330995792426368,0.6479663394109397,0,0,0,0,1,0
-122.26,37.84,52.0,950.0,202.0,467.0,198.0,3.9643,188800.0,NEAR BAY,43,21.263157894736842,0.49157894736842106,0,0,0,0,1,0
-122.26,37.83,52.0,1443.0,311.0,660.0,292.0,3.0125,184400.0,NEAR BAY,44,21.55232155232155,0.4573804573804574,0,0,0,0,1,0
